  # energy grid [eV]     epsr     epsi
       4.357826       0.312740       0.079421
       4.374519       0.299637       0.122055
       4.391212       0.277756       0.162528
       4.407905       0.247392       0.197815
       4.424598       0.211212       0.225371
       4.441290       0.172522       0.245215
       4.457983       0.132782       0.259068
       4.474676       0.091209       0.267823
       4.491369       0.046874       0.269904
       4.508062       0.001148       0.262402
       4.524755      -0.041919       0.243525
       4.541447      -0.077111       0.214661
       4.558140      -0.101138       0.180499
       4.574833      -0.114369       0.146186
       4.591526      -0.119328       0.114847
       4.608219      -0.118589       0.087584
       4.624912      -0.114000       0.064564
       4.641604      -0.106880       0.045762
       4.658297      -0.098457       0.031105
       4.674990      -0.090004       0.020139
       4.691683      -0.082400       0.011873
       4.708376      -0.075794       0.005227
       4.725068      -0.069838      -0.000475
       4.741761      -0.064102      -0.005414
       4.758454      -0.058384      -0.009435
       4.775147      -0.052801      -0.012342
       4.791840      -0.047667      -0.014133
       4.808533      -0.043256      -0.015054
       4.825225      -0.039639      -0.015456
       4.841918      -0.036706      -0.015620
       4.858611      -0.034281      -0.015688
       4.875304      -0.032214      -0.015691
       4.891997      -0.030417      -0.015612
       4.908689      -0.028835      -0.015421
       4.925382      -0.027437      -0.015057
       4.942075      -0.026292      -0.014429
       4.958768      -0.025583      -0.013560
       4.975461      -0.025422      -0.012665
       4.992154      -0.025710      -0.011975
       5.008846      -0.026252      -0.011564
       5.025539      -0.026903      -0.011389
       5.042232      -0.027585      -0.011376
       5.058925      -0.028264      -0.011422
       5.075618      -0.029001      -0.011417
       5.092311      -0.029951      -0.011344
       5.109003      -0.031235      -0.011351
       5.125696      -0.032804      -0.011635
       5.142389      -0.034493      -0.012282
       5.159082      -0.036160      -0.013257
       5.175775      -0.037737      -0.014484
       5.192467      -0.039202      -0.015895
       5.209160      -0.040563      -0.017436
       5.225853      -0.041850      -0.019072
       5.242546      -0.043116      -0.020806
       5.259239      -0.044393      -0.022712
       5.275932      -0.045601      -0.024885
       5.292624      -0.046579      -0.027291
       5.309317      -0.047288      -0.029749
       5.326010      -0.047899      -0.032149
       5.342703      -0.048620      -0.034626
       5.359396      -0.049461      -0.037525
       5.376088      -0.050093      -0.041183
       5.392781      -0.049905      -0.045668
       5.409474      -0.048183      -0.050618
       5.426167      -0.044397      -0.055092
       5.442860      -0.038754      -0.057690
       5.459553      -0.032533      -0.057337
       5.476245      -0.027422      -0.054101
       5.492938      -0.024501      -0.048916
       5.509631      -0.024159      -0.042740
       5.526324      -0.026581      -0.036388
       5.543017      -0.031699      -0.030760
       5.559710      -0.038989      -0.026443
       5.576402      -0.048186      -0.023245
       5.593095      -0.060353      -0.021041
       5.609788      -0.077411      -0.021757
       5.626481      -0.099331      -0.030210
       5.643174      -0.121047      -0.051388
       5.659866      -0.133456      -0.085099
       5.676559      -0.129547      -0.123838
       5.693252      -0.109613      -0.157272
       5.709945      -0.080263      -0.178655
       5.726638      -0.049419      -0.187287
       5.743331      -0.022286      -0.186589
       5.760023      -0.000470      -0.180748
       5.776716       0.016526      -0.172767
       5.793409       0.030012      -0.164359
       5.810102       0.041429      -0.155878
       5.826795       0.051225      -0.146750
       5.843487       0.058777      -0.137033
       5.860180       0.063998      -0.127892
       5.876873       0.068108      -0.120088
       5.893566       0.072294      -0.112886
       5.910259       0.076280      -0.105107
       5.926952       0.078998      -0.096775
       5.943644       0.080197      -0.088866
       5.960337       0.080613      -0.081940
       5.977030       0.080927      -0.075634
       5.993723       0.081009      -0.069358
       6.010416       0.080325      -0.063205
       6.027109       0.078882      -0.057797
       6.043801       0.077309      -0.053441
       6.060494       0.076266      -0.049816
       6.077187       0.075994      -0.046189
       6.093880       0.076081      -0.041817
       6.110573       0.075621      -0.036552
       6.127265       0.073966      -0.031053
       6.143958       0.071259      -0.026156
       6.160651       0.068148      -0.022216
       6.177344       0.065231      -0.019001
       6.194037       0.062683      -0.015943
       6.210730       0.060131      -0.012594
       6.227422       0.056983      -0.009054
       6.244115       0.053001      -0.005891
