  # energy grid [eV]     epsr     epsi
       5.008846       0.107113      -0.179450
       5.025539       0.118604      -0.174272
       5.042232       0.127672      -0.168637
       5.058925       0.134680      -0.163311
       5.075618       0.140397      -0.158873
       5.092311       0.145556      -0.155174
       5.109003       0.150232      -0.152015
       5.125696       0.154616      -0.149708
       5.142389       0.159436      -0.148227
       5.159082       0.165021      -0.146910
       5.175775       0.171127      -0.145405
       5.192467       0.177780      -0.143675
       5.209160       0.185023      -0.141290
       5.225853       0.192314      -0.137995
       5.242546       0.199367      -0.134234
       5.259239       0.206630      -0.130156
       5.275932       0.214229      -0.125167
       5.292624       0.221574      -0.118935
       5.309317       0.228186      -0.111711
       5.326010       0.233897      -0.103782
       5.342703       0.238642      -0.095446
       5.359396       0.242639      -0.086887
       5.376088       0.246005      -0.077797
       5.392781       0.248232      -0.067828
       5.409474       0.248402      -0.057148
       5.426167       0.245539      -0.046743
       5.442860       0.239468      -0.038596
       5.459553       0.231705      -0.034572
       5.476245       0.224606      -0.035025
       5.492938       0.219982      -0.039045
       5.509631       0.218881      -0.045351
       5.526324       0.221914      -0.052513
       5.543017       0.229109      -0.058826
       5.559710       0.239541      -0.062767
       5.576402       0.251719      -0.063784
       5.593095       0.264619      -0.062315
       5.609788       0.278164      -0.058809
       5.626481       0.292492      -0.052923
       5.643174       0.306979      -0.043963
       5.659866       0.320370      -0.031931
       5.676559       0.331769      -0.017754
       5.693252       0.341233      -0.002532
       5.709945       0.349412       0.013291
       5.726638       0.356742       0.029966
       5.743331       0.363114       0.047942
       5.760023       0.367908       0.067421
       5.776716       0.370313       0.087893
       5.793409       0.370213       0.108086
       5.810102       0.368835       0.127069
       5.826795       0.367704       0.145561
       5.843487       0.366954       0.165259
       5.860180       0.365386       0.187289
       5.876873       0.361393       0.211704
       5.893566       0.353681       0.237595
       5.910259       0.341729       0.263648
       5.926952       0.325593       0.288682
       5.943644       0.305640       0.311759
       5.960337       0.282299       0.332183
       5.977030       0.256057       0.349211
       5.993723       0.227786       0.362272
       6.010416       0.198244       0.371346
       6.027109       0.167612       0.376283
       6.043801       0.136199       0.376119
       6.060494       0.105478       0.369515
       6.077187       0.078328       0.356054
       6.093880       0.058037       0.337331
       6.110573       0.046747       0.317105
       6.127265       0.043714       0.300187
       6.143958       0.045111       0.289573
       6.160651       0.046859       0.284773
       6.177344       0.047022       0.283521
       6.194037       0.045627       0.283779
       6.210730       0.043789       0.284678
       6.227422       0.042422       0.286830
       6.244115       0.041230       0.291379
       6.260808       0.038941       0.298889
       6.277501       0.034112       0.308902
       6.294194       0.025852       0.320265
       6.310886       0.013926       0.331682
       6.327579      -0.001464       0.342016
       6.344272      -0.019997       0.350073
       6.360965      -0.040447       0.354129
       6.377658      -0.059401       0.353476
       6.394351      -0.072911       0.351372
       6.411043      -0.081427       0.354659
       6.427736      -0.091911       0.367758
       6.444429      -0.112704       0.387975
       6.461122      -0.147760       0.408155
       6.477815      -0.196910       0.421157
       6.494508      -0.257675       0.420059
       6.511200      -0.323645       0.398011
       6.527893      -0.383225       0.352315
       6.544586      -0.424313       0.289009
       6.561279      -0.441869       0.220535
       6.577972      -0.439443       0.157979
       6.594664      -0.424202       0.106887
       6.611357      -0.402919       0.068656
       6.628050      -0.381500       0.042207
       6.644743      -0.364295       0.023918
       6.661436      -0.352350       0.009091
       6.678129      -0.344153      -0.005250
       6.694821      -0.338157      -0.020029
       6.711514      -0.333561      -0.035615
       6.728207      -0.329772      -0.052313
       6.744900      -0.326494      -0.070405
       6.761593      -0.323401      -0.090777
       6.778285      -0.319043      -0.114630
       6.794978      -0.310556      -0.142008
       6.811671      -0.295121      -0.170383
       6.828364      -0.272526      -0.195419
       6.845057      -0.245628      -0.213971
       6.861750      -0.217895      -0.225539
       6.878442      -0.191941      -0.230847
       6.895135      -0.170313      -0.231343
       6.911828      -0.154952      -0.230272
       6.928521      -0.145227      -0.232076
       6.945214      -0.137401      -0.239881
       6.961907      -0.126534      -0.253445
       6.978599      -0.109256      -0.269380
       6.995292      -0.085385      -0.283231
       7.011985      -0.057572      -0.292069
       7.028678      -0.028944      -0.295917
       7.045371      -0.000690      -0.296457
       7.062063       0.027924      -0.294521
       7.078756       0.057407      -0.289071
       7.095449       0.086373      -0.278983
       7.112142       0.113037      -0.264933
       7.128835       0.136918      -0.248297
       7.145528       0.158267      -0.229912
       7.162220       0.177394      -0.210213
       7.178913       0.194690      -0.189473
       7.195606       0.210735      -0.167594
       7.212299       0.225927      -0.143812
       7.228992       0.239942      -0.116853
       7.245684       0.251170      -0.085326
       7.262377       0.256224      -0.049129
       7.279070       0.251657      -0.011488
       7.295763       0.237530       0.022059
       7.312456       0.217952       0.047909
       7.329149       0.197435       0.066528
       7.345841       0.177947       0.080357
       7.362534       0.159331       0.091089
       7.379227       0.141198       0.098932
       7.395920       0.124206       0.103709
       7.412613       0.109390       0.106339
       7.429306       0.096584       0.108353
       7.445998       0.084764       0.110288
       7.462691       0.073508       0.111933
       7.479384       0.062736       0.113484
       7.496077       0.051822       0.115175
       7.512770       0.039996       0.116493
       7.529462       0.027158       0.116346
       7.546155       0.014162       0.113847
       7.562848       0.002265       0.109054
       7.579541      -0.007803       0.102773
       7.596234      -0.015940       0.095791
       7.612927      -0.022209       0.088650
       7.629619      -0.026623       0.081979
       7.646312      -0.029601       0.076762
       7.663005      -0.032531       0.073739
       7.679698      -0.037411       0.072403
       7.696391      -0.045625       0.070529
       7.713083      -0.056332       0.065046
       7.729776      -0.066397       0.054432
       7.746469      -0.072703       0.039876
       7.763162      -0.073875       0.023859
       7.779855      -0.069955       0.008697
       7.796548      -0.061748      -0.003669
       7.813240      -0.050852      -0.011703
       7.829933      -0.039547      -0.014893
       7.846626      -0.029850      -0.014071
       7.863319      -0.022798      -0.010665
       7.880012      -0.018752      -0.005988
       7.896705      -0.017791      -0.001387
       7.913397      -0.019246       0.001606
       7.930090      -0.021396       0.002219
       7.946783      -0.022606       0.001229
       7.963476      -0.022580       0.000114
       7.980169      -0.022090      -0.000351
       7.996861      -0.021766      -0.000296
       8.013554      -0.021760       0.000076
       8.030247      -0.022220       0.000660
       8.046940      -0.023181       0.001245
       8.063633      -0.024568       0.001822
       8.080326      -0.026583       0.002460
       8.097018      -0.029556       0.002876
       8.113711      -0.033512       0.002522
       8.130404      -0.038093       0.000929
       8.147097      -0.042725      -0.002014
       8.163790      -0.047048      -0.005937
       8.180482      -0.051425      -0.010508
       8.197175      -0.056450      -0.016368
       8.213868      -0.061656      -0.024879
       8.230561      -0.065301      -0.036727
       8.247254      -0.065423      -0.051226
       8.263947      -0.060693      -0.066637
       8.280639      -0.050830      -0.080602
       8.297332      -0.036995      -0.090817
       8.314025      -0.021512      -0.096132
       8.330718      -0.006662      -0.097007
       8.347411       0.006292      -0.094828
       8.364104       0.017167      -0.090942
       8.380796       0.026317      -0.086124
       8.397489       0.034058      -0.080631
       8.414182       0.040452      -0.074566
       8.430875       0.045464      -0.068120
