  # energy grid [eV]     epsr     epsi
       5.626481       0.292595      -0.052923
       5.643174       0.307083      -0.043945
       5.659866       0.320468      -0.031897
       5.676559       0.331859      -0.017709
       5.693252       0.341315      -0.002479
       5.709945       0.349486       0.013349
       5.726638       0.356809       0.030029
       5.743331       0.363176       0.048008
       5.760023       0.367964       0.067490
       5.776716       0.370365       0.087965
       5.793409       0.370261       0.108161
       5.810102       0.368878       0.127148
       5.826795       0.367742       0.145643
       5.843487       0.366987       0.165345
       5.860180       0.365415       0.187378
       5.876873       0.361416       0.211798
       5.893566       0.353697       0.237693
       5.910259       0.341738       0.263750
       5.926952       0.325593       0.288788
       5.943644       0.305629       0.311869
       5.960337       0.282275       0.332297
       5.977030       0.256016       0.349327
       5.993723       0.227725       0.362386
       6.010416       0.198161       0.371452
       6.027109       0.167508       0.376372
       6.043801       0.136078       0.376183
       6.060494       0.105352       0.369548
       6.077187       0.078208       0.356057
       6.093880       0.057933       0.337311
       6.110573       0.046662       0.317071
       6.127265       0.043649       0.300148
       6.143958       0.045062       0.289534
       6.160651       0.046822       0.284739
       6.177344       0.046993       0.283493
       6.194037       0.045601       0.283757
       6.210730       0.043763       0.284661
       6.227422       0.042394       0.286814
       6.244115       0.041202       0.291362
       6.260808       0.038914       0.298868
       6.277501       0.034088       0.308879
       6.294194       0.025832       0.320242
       6.310886       0.013910       0.331660
       6.327579      -0.001478       0.341995
       6.344272      -0.020011       0.350055
       6.360965      -0.040461       0.354111
       6.377658      -0.059416       0.353457
       6.394351      -0.072926       0.351352
       6.411043      -0.081440       0.354636
       6.427736      -0.091921       0.367735
       6.444429      -0.112712       0.387953
       6.461122      -0.147766       0.408134
       6.477815      -0.196915       0.421138
       6.494508      -0.257680       0.420041
       6.511200      -0.323650       0.397995
       6.527893      -0.383232       0.352301
       6.544586      -0.424321       0.288995
       6.561279      -0.441879       0.220521
       6.577972      -0.439456       0.157966
       6.594664      -0.424220       0.106874
       6.611357      -0.402943       0.068640
       6.628050      -0.381529       0.042185
       6.644743      -0.364329       0.023888
       6.661436      -0.352386       0.009050
       6.678129      -0.344189      -0.005304
       6.694821      -0.338190      -0.020096
       6.711514      -0.333588      -0.035696
       6.728207      -0.329788      -0.052407
       6.744900      -0.326494      -0.070511
       6.761593      -0.323381      -0.090892
       6.778285      -0.318999      -0.114749
       6.794978      -0.310484      -0.142122
       6.811671      -0.295024      -0.170482
       6.828364      -0.272412      -0.195495
       6.845057      -0.245508      -0.214023
       6.861750      -0.217776      -0.225571
       6.878442      -0.191827      -0.230865
       6.895135      -0.170201      -0.231351
       6.911828      -0.154841      -0.230270
       6.928521      -0.145118      -0.232060
       6.945214      -0.137297      -0.239852
       6.961907      -0.126440      -0.253405
       6.978599      -0.109174      -0.269333
       6.995292      -0.085313      -0.283182
       7.011985      -0.057509      -0.292021
       7.028678      -0.028887      -0.295872
       7.045371      -0.000635      -0.296414
       7.062063       0.027979      -0.294479
       7.078756       0.057463      -0.289028
       7.095449       0.086429      -0.278937
       7.112142       0.113092      -0.264886
       7.128835       0.136975      -0.248248
       7.145528       0.158328      -0.229857
       7.162220       0.177459      -0.210148
       7.178913       0.194754      -0.189392
       7.195606       0.210791      -0.167496
       7.212299       0.225970      -0.143699
       7.228992       0.239966      -0.116728
       7.245684       0.251171      -0.085191
       7.262377       0.256194      -0.048991
       7.279070       0.251593      -0.011361
       7.295763       0.237439       0.022162
       7.312456       0.217847       0.047980
       7.329149       0.197328       0.066567
       7.345841       0.177847       0.080369
       7.362534       0.159244       0.091081
       7.379227       0.141127       0.098909
       7.395920       0.124150       0.103680
       7.412613       0.109347       0.106307
       7.429306       0.096552       0.108320
       7.445998       0.084743       0.110257
       7.462691       0.073495       0.111905
       7.479384       0.062729       0.113460
       7.496077       0.051817       0.115157
       7.512770       0.039991       0.116478
       7.529462       0.027151       0.116331
       7.546155       0.014156       0.113831
       7.562848       0.002259       0.109036
       7.579541      -0.007805       0.102754
       7.596234      -0.015939       0.095771
       7.612927      -0.022206       0.088630
       7.629619      -0.026617       0.081959
       7.646312      -0.029592       0.076742
       7.663005      -0.032519       0.073720
       7.679698      -0.037396       0.072386
       7.696391      -0.045607       0.070516
       7.713083      -0.056314       0.065036
       7.729776      -0.066380       0.054425
       7.746469      -0.072687       0.039870
       7.763162      -0.073861       0.023853
       7.779855      -0.069943       0.008688
       7.796548      -0.061736      -0.003682
       7.813240      -0.050836      -0.011719
       7.829933      -0.039525      -0.014912
       7.846626      -0.029821      -0.014088
       7.863319      -0.022762      -0.010677
       7.880012      -0.018712      -0.005992
       7.896705      -0.017751      -0.001382
       7.913397      -0.019211       0.001618
       7.930090      -0.021369       0.002234
       7.946783      -0.022585       0.001240
       7.963476      -0.022560       0.000120
       7.980169      -0.022067      -0.000349
       7.996861      -0.021737      -0.000295
       8.013554      -0.021725       0.000081
       8.030247      -0.022182       0.000671
       8.046940      -0.023144       0.001265
       8.063633      -0.024535       0.001848
       8.080326      -0.026557       0.002490
       8.097018      -0.029536       0.002907
       8.113711      -0.033497       0.002551
       8.130404      -0.038082       0.000954
       8.147097      -0.042715      -0.001992
       8.163790      -0.047039      -0.005918
       8.180482      -0.051415      -0.010492
       8.197175      -0.056438      -0.016353
       8.213868      -0.061642      -0.024864
       8.230561      -0.065285      -0.036711
       8.247254      -0.065405      -0.051209
       8.263947      -0.060675      -0.066616
       8.280639      -0.050813      -0.080578
       8.297332      -0.036982      -0.090790
       8.314025      -0.021503      -0.096105
       8.330718      -0.006657      -0.096982
       8.347411       0.006295      -0.094805
       8.364104       0.017169      -0.090922
       8.380796       0.026319      -0.086106
       8.397489       0.034061      -0.080615
       8.414182       0.040457      -0.074552
       8.430875       0.045469      -0.068105
       8.447568       0.049110      -0.061466
       8.464260       0.051276      -0.054757
       8.480953       0.051665      -0.048335
       8.497646       0.050170      -0.043063
       8.514339       0.047467      -0.039983
       8.531032       0.044991      -0.039412
       8.547725       0.043908      -0.040534
       8.564417       0.044325      -0.042273
       8.581110       0.045801      -0.044274
       8.597803       0.048382      -0.046828
       8.614496       0.052977      -0.049860
       8.631189       0.060485      -0.052014
       8.647881       0.070317      -0.051156
       8.664574       0.080244      -0.046160
       8.681267       0.087967      -0.037766
       8.697960       0.092317      -0.027776
       8.714653       0.093373      -0.018094
       8.731346       0.092213      -0.010068
       8.748038       0.090305      -0.003981
       8.764731       0.088629       0.000789
       8.781424       0.087391       0.005029
       8.798117       0.086308       0.009247
       8.814810       0.084889       0.013485
       8.831503       0.082927       0.017289
       8.848195       0.080818       0.020281
       8.864888       0.079052       0.022682
       8.881581       0.077621       0.024925
       8.898274       0.076231       0.027091
       8.914967       0.074775       0.028956
       8.931659       0.073447       0.030304
       8.948352       0.072600       0.031168
       8.965045       0.072472       0.031863
       8.981738       0.072999       0.032774
       8.998431       0.073879       0.034082
       9.015124       0.074835       0.035658
       9.031816       0.075857       0.037207
       9.048509       0.077207       0.038517
       9.065202       0.079318       0.039579
       9.081895       0.082708       0.040706
       9.098588       0.087713       0.042634
       9.115280       0.094141       0.046291
       9.131973       0.101339       0.052322
       9.148666       0.108607       0.061004
       9.165359       0.115333       0.072527
       9.182052       0.120777       0.087121
       9.198745       0.123893       0.104858
       9.215437       0.123432       0.125381
       9.232130       0.118187       0.147847
       9.248823       0.107039       0.170961
       9.265516       0.089048       0.192680
       9.282209       0.064206       0.209879
       9.298902       0.034786       0.219174
       9.315594       0.005229       0.219268
       9.332287      -0.020403       0.212057
       9.348980      -0.040486       0.200956
       9.365673      -0.055561       0.188781
       9.382366      -0.066974       0.176952
       9.399058      -0.075839       0.165936
       9.415751      -0.082985       0.155896
       9.432444      -0.089185       0.146694
       9.449137      -0.094848       0.137749
       9.465830      -0.099654       0.128518
       9.482523      -0.102888       0.119141
       9.499215      -0.104169       0.110544
       9.515908      -0.104118       0.103931
       9.532601      -0.104311       0.099675
       9.549294      -0.106146       0.096824
       9.565987      -0.109925       0.093779
       9.582679      -0.114800       0.089295
       9.599372      -0.119535       0.083200
       9.616065      -0.123509       0.075995
       9.632758      -0.126589       0.067932
       9.649451      -0.128410       0.059032
       9.666144      -0.128328       0.049686
       9.682836      -0.125962       0.040910
       9.699529      -0.121835       0.033929
       9.716222      -0.117228       0.029154
       9.732915      -0.112945       0.026004
       9.749608      -0.108937       0.024173
       9.766301      -0.105531       0.024044
