  # energy grid [eV]     epsr     epsi
       4.741761       0.032513      -0.021970
       4.758454       0.031080      -0.019274
       4.775147       0.029340      -0.017275
       4.791840       0.027637      -0.015968
       4.808533       0.026242      -0.015122
       4.825225       0.025201      -0.014436
       4.841918       0.024407      -0.013714
       4.858611       0.023724      -0.012867
       4.875304       0.023024      -0.011899
       4.891997       0.022258      -0.010864
       4.908689       0.021437      -0.009760
       4.925382       0.020504      -0.008526
       4.942075       0.019323      -0.007174
       4.958768       0.017799      -0.005819
       4.975461       0.015925      -0.004590
       4.992154       0.013739      -0.003585
       5.008846       0.011293      -0.002857
       5.025539       0.008597      -0.002444
       5.042232       0.005647      -0.002449
       5.058925       0.002525      -0.003051
       5.075618      -0.000499      -0.004394
       5.092311      -0.003028      -0.006358
       5.109003      -0.004880      -0.008504
       5.125696      -0.006299      -0.010427
       5.142389      -0.007688      -0.012099
       5.159082      -0.009250      -0.013744
       5.175775      -0.010960      -0.015568
       5.192467      -0.012724      -0.017632
       5.209160      -0.014525      -0.019903
       5.225853      -0.016468      -0.022398
       5.242546      -0.018673      -0.025295
       5.259239      -0.021104      -0.028929
       5.275932      -0.023420      -0.033584
       5.292624      -0.025144      -0.039187
       5.309317      -0.026100      -0.045351
       5.326010      -0.026551      -0.051837
       5.342703      -0.026872      -0.058895
       5.359396      -0.027091      -0.067257
       5.376088      -0.026512      -0.077788
       5.392781      -0.023626      -0.090900
       5.409474      -0.016464      -0.105905
       5.426167      -0.003507      -0.120626
       5.442860       0.014998      -0.131925
       5.459553       0.036602      -0.137599
       5.476245       0.058437      -0.137888
       5.492938       0.079396      -0.134370
       5.509631       0.099798      -0.127720
       5.526324       0.119523      -0.117539
       5.543017       0.137660      -0.103772
       5.559710       0.153664      -0.087054
       5.576402       0.167702      -0.067598
       5.593095       0.179468      -0.044697
       5.609788       0.187417      -0.017864
       5.626481       0.189493       0.012168
       5.643174       0.184049       0.043480
       5.659866       0.170403       0.073339
       5.676559       0.149180       0.098768
       5.693252       0.122327       0.117243
       5.709945       0.092762       0.127315
       5.726638       0.063696       0.129027
       5.743331       0.037754       0.123751
       5.760023       0.016597       0.113566
       5.776716       0.000883       0.100892
       5.793409      -0.009951       0.088074
       5.810102      -0.017549       0.076526
       5.826795      -0.023610       0.066196
       5.843487      -0.028850       0.056202
       5.860180      -0.032968       0.045869
       5.876873      -0.035281       0.035338
       5.893566      -0.035592       0.025486
       5.910259      -0.034633       0.017080
       5.926952      -0.033422       0.010003
       5.943644      -0.032411       0.003572
       5.960337      -0.031496      -0.002753
       5.977030      -0.030476      -0.009198
       5.993723      -0.029257      -0.015991
       6.010416      -0.027458      -0.023553
       6.027109      -0.024117      -0.031877
       6.043801      -0.018472      -0.039948
       6.060494      -0.010905      -0.046435
       6.077187      -0.002596      -0.050903
       6.093880       0.005734      -0.053884
       6.110573       0.014213      -0.055784
       6.127265       0.022992      -0.056342
       6.143958       0.031642      -0.055170
       6.160651       0.039426      -0.052346
       6.177344       0.045771      -0.048442
       6.194037       0.050563      -0.044315
       6.210730       0.054328      -0.040693
       6.227422       0.057919      -0.037631
       6.244115       0.061823      -0.034550
       6.260808       0.065897      -0.030740
       6.277501       0.069415      -0.025793
       6.294194       0.071389      -0.020098
       6.310886       0.071491      -0.014899
       6.327579       0.070591      -0.011215
       6.344272       0.069836      -0.008971
       6.360965       0.069742      -0.007543
       6.377658       0.070386      -0.006434
       6.394351       0.071723      -0.005238
       6.411043       0.073495      -0.003583
       6.427736       0.075241      -0.001378
       6.444429       0.076622       0.001105
       6.461122       0.077621       0.003502
       6.477815       0.078414       0.005573
       6.494508       0.079251       0.007180
       6.511200       0.080500       0.008298
       6.527893       0.082608       0.009199
       6.544586       0.085759       0.010560
       6.561279       0.089486       0.013122
       6.577972       0.092753       0.017008
       6.594664       0.094731       0.021352
       6.611357       0.095624       0.024824
       6.628050       0.096716       0.026622
       6.644743       0.099658       0.027188
       6.661436       0.105337       0.028125
       6.678129       0.113304       0.031119
       6.694821       0.122426       0.037024
       6.711514       0.131738       0.046034
       6.728207       0.140588       0.058258
       6.744900       0.148310       0.074065
       6.761593       0.153626       0.094041
       6.778285       0.154135       0.118139
       6.794978       0.146978       0.144280
       6.811671       0.131031       0.168040
       6.828364       0.108770       0.184862
       6.845057       0.085109       0.193190
       6.861750       0.064129       0.194942
       6.878442       0.047353       0.193316
       6.895135       0.034416       0.190938
       6.911828       0.023983       0.189495
       6.928521       0.014252       0.189384
       6.945214       0.004197       0.189712
       6.961907      -0.005836       0.189846
       6.978599      -0.015608       0.190380
       6.995292      -0.026135       0.191870
       7.011985      -0.038727       0.193546
       7.028678      -0.053645       0.193890
       7.045371      -0.070333       0.191789
       7.062063      -0.088191       0.186375
       7.078756      -0.106090       0.176485
       7.095449      -0.121599       0.161643
       7.112142      -0.132135       0.143454
       7.128835      -0.136946       0.124963
       7.145528      -0.137454       0.108605
       7.162220      -0.135802       0.094887
