  # energy grid [eV]     epsr     epsi
       6.577972       0.949516       1.027516
       6.594664       0.993553       0.967096
       6.611357       1.047933       0.924811
       6.628050       1.106266       0.898233
       6.644743       1.166518       0.884104
       6.661436       1.229011       0.881302
       6.678129       1.293905       0.890900
       6.694821       1.360052       0.915079
       6.711514       1.424809       0.956079
       6.728207       1.484382       1.015668
       6.744900       1.533798       1.095297
       6.761593       1.565616       1.195681
       6.778285       1.569028       1.313712
       6.794978       1.533289       1.438152
       6.811671       1.455599       1.550299
       6.828364       1.345438       1.632545
       6.845057       1.219456       1.676682
       6.861750       1.093067       1.684285
       6.878442       0.976263       1.661764
       6.895135       0.874440       1.616141
       6.911828       0.790036       1.553643
       6.928521       0.724072       1.478710
       6.945214       0.678505       1.394983
       6.961907       0.655467       1.308186
       6.978599       0.654041       1.225575
       6.995292       0.670046       1.152715
       7.011985       0.698507       1.092304
       7.028678       0.735082       1.045438
       7.045371       0.775526       1.012387
       7.062063       0.815598       0.991767
       7.078756       0.852883       0.980253
       7.095449       0.888123       0.975221
       7.112142       0.922559       0.977354
       7.128835       0.954379       0.988898
       7.145528       0.978716       1.009648
       7.162220       0.991512       1.034680
       7.178913       0.993993       1.057225
       7.195606       0.991608       1.074427
       7.212299       0.988546       1.088442
       7.228992       0.984849       1.102661
       7.245684       0.977910       1.117960
       7.262377       0.966008       1.132361
       7.279070       0.949395       1.143458
       7.295763       0.929421       1.149065
       7.312456       0.909172       1.147686
       7.329149       0.892474       1.140738
       7.345841       0.880333       1.131954
       7.362534       0.870653       1.123200
       7.379227       0.862174       1.113371
       7.395920       0.855962       1.101373
       7.412613       0.853919       1.087442
       7.429306       0.858139       1.073335
       7.445998       0.869437       1.062836
       7.462691       0.885527       1.059956
       7.479384       0.902032       1.066335
       7.496077       0.914670       1.080825
       7.512770       0.920852       1.099994
       7.529462       0.921478       1.120033
       7.546155       0.919716       1.140447
       7.562848       0.916663       1.164238
       7.579541       0.909565       1.194571
       7.596234       0.892688       1.232059
       7.612927       0.859357       1.272645
       7.629619       0.805962       1.307210
       7.646312       0.735124       1.324986
       7.663005       0.655149       1.317368
       7.679698       0.579124       1.280335
       7.696391       0.522123       1.218659
       7.713083       0.493078       1.146146
       7.729776       0.490238       1.077460
       7.746469       0.505890       1.021275
       7.763162       0.531990       0.981108
       7.779855       0.560752       0.957657
       7.796548       0.584807       0.948021
       7.813240       0.600059       0.945930
       7.829933       0.607049       0.945088
       7.846626       0.609254       0.941786
       7.863319       0.610899       0.935800
       7.880012       0.614059       0.930014
       7.896705       0.617051       0.926875
       7.913397       0.617503       0.925590
       7.930090       0.615398       0.924343
       7.946783       0.611440       0.923024
       7.963476       0.604652       0.921680
       7.980169       0.594074       0.918069
       7.996861       0.581702       0.909240
       8.013554       0.571670       0.895064
       8.030247       0.566558       0.878718
       8.046940       0.565689       0.863627
       8.063633       0.566982       0.851299
       8.080326       0.568528       0.842142
       8.097018       0.568027       0.835801
       8.113711       0.563374       0.830100
       8.130404       0.554253       0.821425
       8.147097       0.543072       0.805944
       8.163790       0.535346       0.782032
       8.180482       0.536885       0.752770
       8.197175       0.550094       0.724302
       8.213868       0.573789       0.702898
       8.230561       0.603756       0.693979
       8.247254       0.632516       0.700450
       8.263947       0.651122       0.719961
       8.280639       0.653714       0.744311
       8.297332       0.641505       0.763494
       8.314025       0.621427       0.771732
       8.330718       0.600729       0.769248
       8.347411       0.583545       0.759574
       8.364104       0.570607       0.746550
       8.380796       0.560514       0.732326
       8.397489       0.551885       0.716936
       8.414182       0.544546       0.699700
       8.430875       0.538933       0.680119
       8.447568       0.536174       0.657630
       8.464260       0.538541       0.632703
       8.480953       0.547961       0.607969
       8.497646       0.564171       0.587280
       8.514339       0.584341       0.573701
       8.531032       0.604431       0.567804
       8.547725       0.621466       0.567881
       8.564417       0.634160       0.571903
       8.581110       0.641631       0.578141
       8.597803       0.643412       0.584220
       8.614496       0.640503       0.587752
       8.631189       0.634563       0.587459
       8.647881       0.627203       0.582405
       8.664574       0.621023       0.572079
       8.681267       0.619017       0.558216
       8.697960       0.621832       0.544491
       8.714653       0.627051       0.533369
       8.731346       0.631919       0.524226
       8.748038       0.635876       0.515048
       8.764731       0.639912       0.504847
       8.781424       0.644826       0.493573
       8.798117       0.651479       0.481113
       8.814810       0.661442       0.468291
       8.831503       0.675121       0.457728
       8.848195       0.690271       0.451524
       8.864888       0.704019       0.449093
       8.881581       0.715346       0.448386
       8.898274       0.724650       0.448086
       8.914967       0.732231       0.447542
       8.931659       0.738406       0.445831
       8.948352       0.744354       0.441976
       8.965045       0.752143       0.436127
       8.981738       0.763243       0.430253
       8.998431       0.777038       0.426862
       9.015124       0.791289       0.427022
       9.031816       0.804059       0.429742
       9.048509       0.815165       0.433412
       9.065202       0.825310       0.437526
       9.081895       0.834498       0.442181
       9.098588       0.842482       0.446575
       9.115280       0.850591       0.449521
       9.131973       0.861442       0.451956
