nm				psi			delta
8.310000000000000000e+02 3.099991999999999948e+01 1.695956199999999967e+02
8.320000000000000000e+02 3.093724999999999881e+01 1.697257600000000082e+02
8.330000000000000000e+02 3.087456999999999852e+01 1.698558899999999880e+02
8.340000000000000000e+02 3.081190000000000140e+01 1.699891100000000108e+02
8.350000000000000000e+02 3.074922000000000111e+01 1.701227100000000121e+02
8.360000000000000000e+02 3.068655000000000044e+01 1.702563100000000134e+02
8.370000000000000000e+02 3.062387999999999977e+01 1.703899099999999862e+02
8.380000000000000000e+02 3.056072999999999951e+01 1.705235099999999875e+02
8.390000000000000000e+02 3.049562999999999846e+01 1.706571099999999888e+02
8.400000000000000000e+02 3.043053000000000097e+01 1.707907099999999900e+02
8.410000000000000000e+02 3.036543999999999954e+01 1.709243099999999913e+02
8.420000000000000000e+02 3.030033999999999850e+01 1.710538599999999860e+02
8.430000000000000000e+02 3.023524000000000100e+01 1.711779600000000130e+02
8.440000000000000000e+02 3.017014999999999958e+01 1.713020600000000115e+02
8.450000000000000000e+02 3.010504999999999853e+01 1.714261700000000133e+02
8.460000000000000000e+02 3.003995000000000104e+01 1.715502700000000118e+02
8.470000000000000000e+02 2.997485999999999962e+01 1.716743700000000104e+02
8.480000000000000000e+02 2.990975999999999857e+01 1.717984800000000121e+02
8.490000000000000000e+02 2.984466000000000108e+01 1.719225800000000106e+02
8.500000000000000000e+02 2.978076000000000079e+01 1.720466800000000092e+02
8.510000000000000000e+02 2.971728999999999843e+01 1.721722000000000037e+02
8.520000000000000000e+02 2.965381000000000000e+01 1.722981499999999926e+02
8.530000000000000000e+02 2.959033000000000158e+01 1.724241100000000131e+02
8.540000000000000000e+02 2.952684999999999960e+01 1.725500700000000052e+02
8.550000000000000000e+02 2.946338000000000079e+01 1.726760299999999972e+02
8.560000000000000000e+02 2.939989999999999881e+01 1.728019899999999893e+02
8.570000000000000000e+02 2.933642000000000039e+01 1.729279500000000098e+02
8.580000000000000000e+02 2.927293999999999841e+01 1.730539100000000019e+02
8.590000000000000000e+02 2.920946999999999960e+01 1.731798699999999940e+02
8.600000000000000000e+02 2.914599000000000117e+01 1.733011899999999912e+02
8.610000000000000000e+02 2.908250999999999920e+01 1.734218999999999937e+02
8.620000000000000000e+02 2.901660000000000039e+01 1.735425999999999931e+02
8.630000000000000000e+02 2.895061000000000107e+01 1.736633099999999956e+02
8.640000000000000000e+02 2.888460999999999856e+01 1.737840099999999950e+02
8.650000000000000000e+02 2.881860999999999962e+01 1.739047199999999975e+02
8.660000000000000000e+02 2.875261000000000067e+01 1.740254199999999969e+02
8.670000000000000000e+02 2.868661000000000172e+01 1.741461199999999963e+02
8.680000000000000000e+02 2.862060999999999922e+01 1.742668299999999988e+02
8.690000000000000000e+02 2.855461000000000027e+01 1.743812399999999911e+02
8.700000000000000000e+02 2.848862000000000094e+01 1.744939699999999903e+02
8.710000000000000000e+02 2.842261999999999844e+01 1.746066899999999862e+02
8.720000000000000000e+02 2.835661999999999949e+01 1.747194200000000137e+02
8.730000000000000000e+02 2.829062000000000054e+01 1.748321500000000128e+02
8.740000000000000000e+02 2.824527000000000143e+01 1.749448700000000088e+02
8.750000000000000000e+02 2.820334000000000074e+01 1.750576000000000079e+02
8.760000000000000000e+02 2.816141000000000005e+01 1.751703200000000038e+02
8.770000000000000000e+02 2.811947999999999936e+01 1.752830500000000029e+02
8.780000000000000000e+02 2.807754999999999868e+01 1.753944700000000125e+02
8.790000000000000000e+02 2.803562000000000154e+01 1.755044300000000135e+02
8.800000000000000000e+02 2.799369000000000085e+01 1.756143899999999860e+02
8.810000000000000000e+02 2.795176000000000016e+01 1.757243400000000122e+02
8.820000000000000000e+02 2.790982999999999947e+01 1.758343000000000131e+02
8.830000000000000000e+02 2.786789999999999878e+01 1.759442600000000141e+02
8.840000000000000000e+02 2.782597000000000165e+01 1.760542199999999866e+02
8.850000000000000000e+02 2.778404000000000096e+01 1.761641700000000128e+02
8.860000000000000000e+02 2.773560000000000159e+01 1.762741300000000138e+02
8.870000000000000000e+02 2.767762000000000100e+01 1.763840899999999863e+02
8.880000000000000000e+02 2.761965000000000003e+01 1.764890499999999918e+02
8.890000000000000000e+02 2.756166999999999945e+01 1.765935800000000029e+02
8.900000000000000000e+02 2.750368999999999886e+01 1.766981100000000140e+02
8.910000000000000000e+02 2.744572000000000145e+01 1.768026399999999967e+02
8.920000000000000000e+02 2.738774000000000086e+01 1.769071700000000078e+02
8.930000000000000000e+02 2.732976999999999990e+01 1.770116999999999905e+02
8.940000000000000000e+02 2.727178999999999931e+01 1.771162300000000016e+02
8.950000000000000000e+02 2.721380999999999872e+01 1.772207699999999875e+02
8.960000000000000000e+02 2.715584000000000131e+01 1.773252999999999986e+02
8.970000000000000000e+02 2.709786000000000072e+01 1.774286700000000110e+02
8.980000000000000000e+02 2.703988000000000014e+01 1.775241599999999949e+02
8.990000000000000000e+02 2.700912999999999897e+01 1.776196500000000071e+02
9.000000000000000000e+02 2.699711999999999890e+01 1.777151399999999910e+02
